jumlah_data,persen_duplikat,replikasi,deteksi_hash_ms,deteksi_bst_ms,deteksi_vector_ms,deteksi_meta_hash_ms,deteksi_meta_bst_ms,deteksi_meta_vector_ms,insert_hash_ms,insert_bst_ms,insert_vector_ms,search_hash_ms,search_bst_ms,search_vector_ms,search_miss_hash_ms,search_miss_bst_ms,search_miss_vector_ms,range_bst_ms,range_vector_ms,delete_hash_ms,delete_bst_ms,delete_vector_ms,memori_hash_bytes,memori_bst_bytes,memori_vector_bytes,grup_duplikat,file_duplikat
1000,10,1,1.525000,1.511000,5.093000,2.518000,2.551000,20.544000,5.605000,3.586000,1.518000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.625000,5.071000,0.000000,0.526000,0.000000,6907824,3470133,5390780,82,179
1000,10,2,1.007000,2.080000,5.650000,3.093000,1.510000,18.091000,5.581000,5.187000,2.562000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.122000,2.535000,0.000000,0.000000,0.000000,6993184,3512377,5433672,96,201
1000,10,3,1.029000,1.007000,3.538000,5.748000,1.514000,22.720000,3.590000,3.578000,1.558000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.080000,1.007000,0.000000,1.520000,0.000000,6964114,3497968,5419155,87,185
1000,15,1,1.516000,1.552000,6.740000,4.073000,1.024000,18.528000,5.721000,3.084000,2.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.062000,1.027000,0.000000,0.000000,0.000000,6894258,3462434,5384305,112,246
1000,15,2,2.049000,3.143000,7.214000,5.664000,2.027000,20.557000,5.156000,3.089000,1.514000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.594000,2.620000,0.000000,0.000000,1.520000,6878330,3454568,5376355,123,265
1000,15,3,2.406000,1.521000,6.086000,4.541000,1.513000,21.286000,3.664000,2.014000,1.528000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.671000,1.607000,0.000000,0.000000,0.000000,6900736,3465783,5387450,112,248
1000,20,1,2.061000,2.074000,5.207000,4.167000,1.532000,19.957000,5.837000,3.541000,2.165000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.589000,1.515000,0.000000,0.000000,0.507000,6833466,3431154,5354057,177,395
1000,20,2,2.036000,2.227000,5.104000,4.132000,1.515000,18.146000,4.107000,3.143000,1.553000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.150000,1.005000,0.000000,0.000000,1.008000,6938296,3483275,5406622,169,379
1000,20,3,1.511000,2.547000,5.686000,4.159000,2.062000,18.909000,4.866000,4.686000,2.027000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.566000,1.516000,0.000000,0.000000,0.000000,6890988,3460199,5382694,152,348
5000,10,1,14.323000,17.431000,94.149000,18.438000,6.718000,507.120000,25.493000,23.536000,12.452000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.075000,11.320000,0.000000,0.000000,1.548000,33901402,17240124,18499679,481,1017
